[2-76][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-77][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-78][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-79][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-80][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-81][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-82][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-83][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-0][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-1][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-2][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-3][est]:3.21151512412e-40, [payload]:b0, [Metric-SINR]:[0]-45.0054707509 
[3-4][est]:3.21151512412e-40, [payload]:b, [Metric-SINR]:[0]-45.0054707509 
[3-5][est]:3.21151512412e-40, [payload]:d2, [Metric-SINR]:[0]-45.0054707509 
[3-6][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-7][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-8][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-9][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-10][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-11][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-12][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-13][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-14][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-15][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-16][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-17][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[3-18][est]:3.21151512412e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
